item,reading,description,example,level,sort,tag,category
"職業","しょくぎょう","Nghề nghiệp, kinh doanh","","N3","820",",tap2,lession11,",""
"食事","しょくじ","Bữa ăn","","N3","821",",tap2,lession12,",""
"食卓","しょくたく","Bàn ăn","","N3","822",",tap2,lession12,",""
"食品","しょくひん","Hàng hóa, thực phẩm","","N3","823",",tap2,lession12,",""
"植物","しょくぶつ","Thực vật","","N3","824",",tap2,lession12,",""
"食物","しょくもつ","Thực phẩm, thực phẩm","","N3","825",",tap2,lession12,",""
"食欲","しょくよく","Sự thèm ăn","","N3","826",",tap2,lession12,",""
"食料","しょくりょう","Thực phẩm","","N3","827",",tap2,lession12,",""
"食糧","しょくりょう","Quy định, khẩu phần","","N3","828",",tap2,lession12,",""
"書斎","しょさい","Nghiên cứu","","N3","829",",tap2,lession12,",""
"女子","じょし","Người phụ nữ, cô gái","","N3","830",",tap2,lession12,",""
"助手","じょしゅ","Người giúp việc, trợ lý, gia sư","","N3","831",",tap2,lession12,",""
"徐々に","じょじょに","Từ từ, từng chút một, từng bước, từng bước, lặng lẽ","","N3","832",",tap2,lession12,",""
"署名","しょめい","Chữ ký","","N3","833",",tap2,lession12,",""
"書物","しょもつ","Sách","","N3","834",",tap2,lession12,",""
"女優","じょゆう","Nữ diễn viên","","N3","835",",tap2,lession12,",""
"処理","しょり","Chế biến, xử lý, điều trị, xử lý, bố trí","","N3","836",",tap2,lession12,",""
"書類","しょるい","Tài liệu, giấy tờ chính thức","","N3","837",",tap2,lession12,",""
"知らせ","しらせ","Chú ý","","N3","838",",tap2,lession12,",""
"尻","しり","Mông, phía dưới","","N3","839",",tap2,lession12,",""
"印","しるし","Nhãn hiệu, biểu tượng","","N3","840",",tap2,lession12,",""
"城","しろ","Lâu đài","","N3","841",",tap2,lession13,",""
"進学","しんがく","Đi vào trường đại học","","N3","842",",tap2,lession13,",""
"神経","しんけい","Thần kinh, nhạy cảm","","N3","843",",tap2,lession13,",""
"真剣","しんけん","Nghiêm túc","","N3","844",",tap2,lession13,",""
"信仰","しんこう","Đức tin, niềm tin, tín ngưỡng","","N3","845",",tap2,lession13,",""
"信号","しんごう","Đèn giao thông, tín hiệu","","N3","846",",tap2,lession13,",""
"人工","じんこう","Nhân tạo, do con người tạo ra, con người làm việc, kỹ năng con người","","N3","847",",tap2,lession13,",""
"深刻","しんこく","Nghiêm trọng","","N3","848",",tap2,lession13,",""
"診察","しんさつ","Khám","","N3","849",",tap2,lession13,",""
"人種","じんしゅ","Chủng tộc","","N3","850",",tap2,lession13,",""
"信じる","しんじる","Tin, đặt niềm tin","","N3","851",",tap2,lession13,",""
"人生","じんせい","Cuộc sống","","N3","852",",tap2,lession13,",""
"親戚","しんせき","Tương đối","","N3","853",",tap2,lession13,",""
"身体","しんたい","Cơ thể","","N3","854",",tap2,lession13,",""
"身長","しんちょう","Chiều cao (của cơ thể), tầm vóc","","N3","855",",tap2,lession13,",""
"慎重","しんちょう","Quyết định, an toàn","","N3","856",",tap2,lession13,",""
"心配","しんぱい","Lo lắng, quan tâm, lo lắng, chăm sóc","","N3","857",",tap2,lession13,",""
"審判","しんぱん","Trọng tài, dùng thử, bản án, trọng tài, trọng tài","","N3","858",",tap2,lession13,",""
"人物","じんぶつ","Nhân vật, tính cách, người, con người, nhân vật, tài năng người đàn ông","","N3","859",",tap2,lession13,",""
"進歩","しんぽ","Tiến bộ, phát triển","","N3","860",",tap2,lession13,",""
"親友","しんゆう","Người bạn thân, bạn thân","","N3","861",",tap2,lession14,",""
"信用","しんよう","Sự tự tin, sự phụ thuộc, tín dụng, đức tin","","N3","862",",tap2,lession14,",""
"信頼","しんらい","Sự tin cậy, sự tin tưởng, sự tự tin","","N3","863",",tap2,lession14,",""
"心理","しんり","Tâm lý","","N3","864",",tap2,lession14,",""
"人類","じんるい","Nhân loại","","N3","865",",tap2,lession14,",""
"巣","す","Tổ","","N3","866",",tap2,lession14,",""
"図","ず","Con số , bản vẽ, hình ảnh, minh hoạ","","N3","867",",tap2,lession14,",""
"水準","すいじゅん","Mực nước, mức, tiêu chuẩn","","N3","868",",tap2,lession14,",""
"推薦","すいせん","Khuyến nghị","","N3","869",",tap2,lession14,",""
"スイッチ","スイッチ","Chuyển đổi","","N3","870",",tap2,lession14,",""
"随分","ずいぶん","Cực kỳ","","N3","871",",tap2,lession14,",""
"睡眠","すいみん","Ngu","","N3","872",",tap2,lession14,",""
"数","すう","Số lượng, con số","","N3","873",",tap2,lession14,",""
"数字","すうじ","Chữ số, con số","","N3","874",",tap2,lession14,",""
"スープ","スープ","Súp","","N3","875",",tap2,lession14,",""
"末","すえ","Kết thúc, bột","","N3","876",",tap2,lession14,",""
"姿","すがた","Con số, hình dạng, xuất hiện","","N3","877",",tap2,lession14,",""
"スキー","スキー","Trượt tuyết","","N3","878",",tap2,lession14,",""
"空く","すく","Để mở, trở nên trống rỗng, có ít đông đúc","","N3","879",",tap2,lession14,",""
"優れる","すぐれる","Để giải cứu, để giúp đỡ","","N3","880",",tap2,lession14,",""
"スケート","スケート","Để vượt qua, vượt xa, vượt trội","","N3","881",",tap2,lession15,",""
"すごい","すごい","Khủng khiếp, tuyệt vời","","N3","882",",tap2,lession15,",""
"少しも","すこしも","Bất cứ thứ gì, không một chút","","N3","883",",tap2,lession15,",""
"過ごす","すごす","Để vượt qua, để chi tiêu, phải đi qua, để vượt qua","","N3","884",",tap2,lession15,",""
"筋","すじ","Cơ bắp, dây chuyền, chuỗi","","N3","885",",tap2,lession15,",""
"進める","すすめる","Tạm ứng, để thúc đẩy, đẩy nhanh","","N3","886",",tap2,lession15,",""
"勧める","すすめる","Giới thiệu, tư vấn, khuyến khích, cung cấp (rượu)","","N3","887",",tap2,lession15,",""
"スター","スター","Ngôi sao","","N3","888",",tap2,lession15,",""
"スタイル","スタイル","Phong cách","","N3","889",",tap2,lession15,",""
"スタンド","スタンド","Đứng","","N3","890",",tap2,lession15,",""
"頭痛","ずつう","Đau đầu","","N3","891",",tap2,lession15,",""
"ずっと","ずっと","Liên tiếp, trong suốt, rất nhiều","","N3","892",",tap2,lession15,",""
"すてき","すてき","Đáng yêu, mơ mộng, đẹp, tuyệt vời","","N3","893",",tap2,lession15,",""
"既に","すでに","Đã quá muộn","","N3","894",",tap2,lession15,",""
"すなわち","すなわち","Có nghĩa là, cụ thể là, nghĩa là","","N3","895",",tap2,lession15,",""
"素晴らしい","すばらしい","Tuyệt vời, lộng lẫy, tráng lệ","","N3","896",",tap2,lession15,",""
"スピーチ","スピーチ","Bài phát biểu","","N3","897",",tap2,lession15,",""
"全て","すべて","Tất cả, toàn bộ, hoàn toàn, nói chung, hoàn toàn","","N3","898",",tap2,lession15,",""
"済ませるすませる","済ませるすませる","Được hoàn thành","","N3","899",",tap2,lession15,",""
"角","すみ","Râu","","N3","900",",tap2,lession15,",""
"すみません","（感）","Xin lỗi","","N3","901",",tap2,lession16,",""
"為る","する","Để thay đổi, để được sử dụng, để đạt đến","","N3","902",",tap2,lession16,",""
"すると","すると","Về điểm ấy","","N3","903",",tap2,lession16,",""
"鋭い","するどい","Sâu sắc","","N3","904",",tap2,lession16,",""
"正","せい","(hợp lý) đúng sự thật, thường xuyên","","N3","905",",tap2,lession16,",""
"生","せい","Dự thảo ,thô, chưa qua chế biến","","N3","906",",tap2,lession16,",""
"性","せい","Giới tính","","N3","907",",tap2,lession16,",""
"所為","せい","Nguyên nhân, lý do, lỗi","","N3","908",",tap2,lession16,",""
"性格","せいかく","Nhân vật, tính cách","","N3","909",",tap2,lession16,",""
"正確","せいかく","Chính xác, đúng giờ, tính chính xác, tính xác thực, tính xác thực","","N3","910",",tap2,lession16,",""
"世紀","せいき","Thế kỷ, thời đại","","N3","911",",tap2,lession16,",""
"請求","せいきゅう","Khiếu nại, yêu cầu, ứng dụng, yêu cầu","","N3","912",",tap2,lession16,",""
"税金","ぜいきん","Thuế, nhiệm vụ","","N3","913",",tap2,lession16,",""
"清潔","せいけつ","Sạch","","N3","914",",tap2,lession16,",""
"制限","せいげん","Hạn chế, hạn chế, hạn chế","","N3","915",",tap2,lession16,",""
"成功","せいこう","Thành công","","N3","916",",tap2,lession16,",""
"生産","せいさん","Sản xuất","","N3","917",",tap2,lession16,",""
"正式","せいしき","Hợp thức, chính thức","","N3","918",",tap2,lession16,",""
"精神","せいしん","Tâm trí, linh hồn, trái tim, tinh thần, ý định","","N3","919",",tap2,lession16,",""
"成人","せいじん","Người lớn","","N3","920",",tap2,lession16,",""
"精々","せいぜい","Nhất, tốt nhất, tối đa càng nhiều càng tốt","","N3","921",",tap2,lession17,",""
"成績","せいせき","Kết quả, kỷ lục","","N3","922",",tap2,lession17,",""
"製造","せいぞう","Sản xuất","","N3","923",",tap2,lession17,",""
"贅沢","ぜいたく","Sang trọng, lãng phí","","N3","924",",tap2,lession17,",""
"成長","せいちょう","Tăng trưởng, phát triển đến tuổi trưởng thành","","N3","925",",tap2,lession17,",""
"制度","せいど","Hệ thống, tổ chức, tổ chức","","N3","926",",tap2,lession17,",""
"青年","せいねん","Thanh niên","","N3","927",",tap2,lession17,",""
"製品","せいひん","Sản xuất hàng hóa, thành phẩm","","N3","928",",tap2,lession17,",""
"政府","せいふ","Chính phủ, hành chính","","N3","929",",tap2,lession17,",""
"生物","せいぶつ","Nguyên liệu thực phẩm","","N3","930",",tap2,lession17,",""
"生命","せいめい","Cuộc sống, sự tồn tại","","N3","931",",tap2,lession17,",""
"整理","せいり","Phân loại, sắp xếp, điều chỉnh, quy định","","N3","932",",tap2,lession17,",""
"咳","せき","Ho","","N3","933",",tap2,lession17,",""
"石炭","せきたん","Than","","N3","934",",tap2,lession17,",""
"責任","せきにん","Nhiệm vụ, trách nhiệm","","N3","935",",tap2,lession17,",""
"石油","せきゆ","Dầu, dầu khí, dầu hỏa","","N3","936",",tap2,lession17,",""
"世間","せけん","Thế giới, xã hội","","N3","937",",tap2,lession17,",""
"説","せつ","Lý thuyết","","N3","938",",tap2,lession17,",""
"積極的","せっきょくてき","Tích cực, năng động, chủ động","","N3","939",",tap2,lession17,",""
"設計","せっけい","Kế hoạch, thiết kế","","N3","940",",tap2,lession17,",""
"絶対","ぜったい","Tuyệt đối, vô điều kiện","","N3","941",",tap2,lession18,",""
"セット","セット","Đặt","","N3","942",",tap2,lession18,",""
"設備","せつび","Thiết bị, phương tiện, cài đặt","","N3","943",",tap2,lession18,",""
"絶滅","ぜつめつ","Phá hủy, sự tuyệt chủng","","N3","944",",tap2,lession18,",""
"節約","せつやく","Kiệm, tiết kiệm","","N3","945",",tap2,lession18,",""
"是非","ぜひ","Chắc chắn, không có thất bại","","N3","946",",tap2,lession18,",""
"責める","せめる","Để lên án, để đổ lỗi, chỉ trích","","N3","947",",tap2,lession18,",""
"世話","せわ","Chăm sóc, giúp đỡ, viện trợ, hỗ trợ","","N3","948",",tap2,lession18,",""
"善","ぜん","Tốt, tốt đẹp, phải, đạo đức","","N3","949",",tap2,lession18,",""
"全","ぜん","Tất cả, toàn bộ, hoàn chỉnh, tổng thể","","N3","950",",tap2,lession18,",""
"全員","ぜんいん","Tất cả các thành viên","","N3","951",",tap2,lession18,",""
"専攻","せんこう","Chủ đề lớn, đặc biệt nghiên cứu","","N3","952",",tap2,lession18,",""
"全国","ぜんこく","Toàn quốc, cả nước, quốc gia","","N3","953",",tap2,lession18,",""
"先日","せんじつ","Các ngày khác, một vài ngày trước","","N3","954",",tap2,lession18,",""
"前者","ぜんしゃ","Trước đây","","N3","955",",tap2,lession18,",""
"選手","せんしゅ","Cầu thủ , nhóm","","N3","956",",tap2,lession18,",""
"前進","ぜんしん","Trước, ổ đĩa, tiến bộ","","N3","957",",tap2,lession18,",""
"全然","ぜんぜん","Hoàn toàn, không phải ở tất cả","","N3","958",",tap2,lession18,",""
"センター","センター","Trung tâm","","N3","959",",tap2,lession18,",""
"全体","ぜんたい","Toàn bộ, bất cứ điều gì","","N3","960",",tap2,lession18,",""
"選択","せんたく","Lựa chọn, sự lựa chọn","","N3","961",",tap2,lession19,",""
"そう","そう","Để","","N3","962",",tap2,lession19,",""
"象","ぞう","Voi","","N3","963",",tap2,lession19,",""
"騒音","そうおん","Tiếng ồn","","N3","964",",tap2,lession19,",""
"増加","ぞうか","Tăng, bổ sung","","N3","965",",tap2,lession19,",""
"操作","そうさ","Hoạt động, quản lý, chế biến","","N3","966",",tap2,lession19,",""
"掃除","そうじ","Làm sạch, quét","","N3","967",",tap2,lession19,",""
"想像","そうぞう","trí tưởng tượng, đoán","","N3","968",",tap2,lession19,",""
"相続","そうぞく","kế, thừa kế","","N3","969",",tap2,lession19,",""
"相談","そうだん","tham khảo ý kiến, thảo luận","","N3","970",",tap2,lession19,",""
"装置","そうち","thiết bị, lắp đặt","","N3","971",",tap2,lession19,",""
"相当","そうとう","phù hợp, công bằng, chấp nhận, thích hợp","","N3","972",",tap2,lession19,",""
"速度","そくど","tốc độ, vận tốc, tỷ lệ","","N3","973",",tap2,lession19,",""
"そこ","そこ","dưới, duy nhất","","N3","974",",tap2,lession19,",""
"底","そこ","dưới, duy nhất","","N3","975",",tap2,lession19,",""
"そこで","そこで","Như vậy , phù hợp, bây giờ, sau đó","","N3","976",",tap2,lession19,",""
"組織","そしき","tổ chức, cấu trúc, xây dựng, mô, hệ thống","","N3","977",",tap2,lession19,",""
"そして","そして","Và, hơn nữa","","N3","978",",tap2,lession19,",""
"注ぐ","そそぐ","đổ , để tưới tiêu, trả tiền, để điền vào, để nuôi","","N3","979",",tap2,lession19,",""
"育つ","そだつ","nâng cao , được đưa lên, để phát triển","","N3","980",",tap2,lession19,",""
"そっくり","そっくり","tất cả, hoàn toàn,giống như","","N3","981",",tap2,lession20,",""
"そっと","そっと","mặt trái đất","","N3","982",",tap2,lession20,",""
"袖","そで","tay áo","","N3","983",",tap2,lession20,",""
"備える","そなえる","cung cấp, để cung cấp cho, để trang bị cho, để cài đặt","","N3","984",",tap2,lession20,",""
"その","その","mà","","N3","985",",tap2,lession20,",""
"そのうち","そのうち","cuối cùng, sớm hay muộn, đã đề cập trước đó","","N3","986",",tap2,lession20,",""
"そのまま","そのまま","mà không thay đổi, vì nó là, cứ để nguyen như vậy","","N3","987",",tap2,lession20,",""
"側","そば","bên, cạnh, ba người","","N3","988",",tap2,lession20,",""
"ソファー","ソファー","sofa,chiếc ghế","","N3","989",",tap2,lession20,",""
"粗末","そまつ","thô, đồng bằng, khiêm tốn","","N3","990",",tap2,lession20,",""
"それ","（接。感","nó, đó","","N3","991",",tap2,lession20,",""
"それぞれ","それぞれ","mỗi hàng, hoặc, tương ứng, rẽ, từng cái từng cái một","","N3","992",",tap2,lession20,",""
"それでも","それでも","nhưng, và được nêu ra, tuy nhiên, ngay cả như vậy, mặc dù","","N3","993",",tap2,lession20,",""
"それとも","それとも","hoặc, hoặc người nào khác","","N3","994",",tap2,lession20,",""
"損","そん","mất mát, thiệt thòi","","N3","995",",tap2,lession20,",""
"損害","そんがい","thiệt hại, mất mát, tổn thương","","N3","996",",tap2,lession20,",""
"尊敬","そんけい","sự tôn trọng, lòng tự trọng, tôn kính, danh dự","","N3","997",",tap2,lession20,",""
"存在","そんざい","tồn tại","","N3","998",",tap2,lession20,",""
"尊重","そんちょう","sự tôn trọng, lòng tự trọng, liên quan","","N3","999",",tap2,lession20,",""
"田","た","ruộng lúa","","N3","1000",",tap2,lession20,",""
"他","た","khác","","N3","1001",",tap2,lession21,",""
"対","たい","thiết lập","","N3","1002",",tap2,lession21,",""
"台","だい","đứng, bảng, hỗ trợ","","N3","1003",",tap2,lession21,",""
"題","だい","tiêu đề, chủ đề","","N3","1004",",tap2,lession21,",""
"体育","たいいく","giáo dục thể chất, thể dục, thể thao","","N3","1005",",tap2,lession21,",""
"体温","たいおん","nhiệt độ","","N3","1006",",tap2,lession21,",""
"大会","たいかい","quy ước, giải đấu, hàng loạt cuộc họp, cuộc biểu tình","","N3","1007",",tap2,lession21,",""
"大気","たいき","bầu không khí","","N3","1008",",tap2,lession21,",""
"代金","だいきん","giá cả, thanh toán, chi phí","","N3","1009",",tap2,lession21,",""
"退屈","たいくつ","tình trạng mệt mỏi, chán nản","","N3","1010",",tap2,lession21,",""
"滞在","たいざい","lưu trú, tạm trú","","N3","1011",",tap2,lession21,",""
"大使","たいし","Đại sứ","","N3","1012",",tap2,lession21,",""
"大した","たいした","đáng kể, lớn, quan trọng, có ý nghĩa, một vấn đề lớn","","N3","1013",",tap2,lession21,",""
"対象","たいしょう","mục tiêu, đối tượng , chủ đề","","N3","1014",",tap2,lession21,",""
"大臣","だいじん","bộ trưởng nội các","","N3","1015",",tap2,lession21,",""
"対する","たいする","đối mặt, đối chất, để chống lại","","N3","1016",",tap2,lession21,",""
"大戦","たいせん","chiến tranh, trận chiến lớn","","N3","1017",",tap2,lession21,",""
"大抵","たいてい","thường, nói chung","","N3","1018",",tap2,lession21,",""
"態度","たいど","thái độ, cách","","N3","1019",",tap2,lession21,",""
"大統領","だいとうりょ","chủ tịch, giám đốc điều hành","","N3","1020",",tap2,lession21,",""
"大半","たいはん","đa số, chủ yếu là, nói chung","","N3","1021",",tap2,lession22,",""
"代表","だいひょう","đại diện, đại diện, đoàn đại biểu, loại, ví dụ, mô hình","","N3","1022",",tap2,lession22,",""
"大部分","だいぶぶん","hầu hết các phần, một phần lớn, đa số","","N3","1023",",tap2,lession22,",""
"タイプライター","タイプライター","Máy đánh chữ","","N3","1024",",tap2,lession22,",""
"大変","たいへん","khủng khiếp, rất","","N3","1025",",tap2,lession22,",""
"逮捕","たいほ","bắt giữ, lo âu, chụp","","N3","1026",",tap2,lession22,",""
"ダイヤ","ダイヤ","sơ đồ,lịch trình, kim cương","","N3","1027",",tap2,lession22,",""
"太陽","たいよう","mặt trời, năng lượng mặt trời","","N3","1028",",tap2,lession22,",""
"平ら","たいら","mức độ, độ phẳng, mịn, bình tĩnh, đồng bằng","","N3","1029",",tap2,lession22,",""
"代理","だいり","cơ quan đại diện, Phó Giám đốc, đại lý","","N3","1030",",tap2,lession22,",""
"大陸","たいりく","lục địa","","N3","1031",",tap2,lession22,",""
"倒す","たおす","để ném xuống, để đánh bại, để đưa xuống, để thổi xuống","","N3","1032",",tap2,lession22,",""
"宝","たから","kho báu","","N3","1033",",tap2,lession22,",""
"だから","だから","như vậy, do đó","","N3","1034",",tap2,lession22,",""
"宅","たく","nhà ở, nhà, chồng","","N3","1035",",tap2,lession22,",""
"だけど","だけど","tuy nhiên","","N3","1036",",tap2,lession22,",""
"確かめる","たしかめる","để xác định","","N3","1037",",tap2,lession22,",""
"多少","たしょう","nhiều hơn hoặc ít hơn, một chút, một chút, một số","","N3","1038",",tap2,lession22,",""
"助ける","たすける","để giúp đỡ, để tiết kiệm, để giải cứu","","N3","1039",",tap2,lession22,",""
"ただ","ただ","miễn phí, chỉ","","N3","1040",",tap2,lession22,",""
"唯","ただ","miễn phí, chỉ duy nhất, duy nhất, thông thường, phổ biến","","N3","1041",",tap2,lession23,",""
"戦い","たたかい","chiến đấu, đấu tranh, xung đột","","N3","1042",",tap2,lession23,",""
"戦う","たたか","để chiến đấu,để chống lại","","N3","1043",",tap2,lession23,",""
"叩く","たたく","để tấn công, người vỗ tay, bụi, để đánh bại","","N3","1044",",tap2,lession23,",""
"直ちに","ただちに","cùng một lúc, ngay lập tức, trực tiếp","","N3","1045",",tap2,lession23,",""
"立ち上がる","たちあがる","đứng lên","","N3","1046",",tap2,lession23,",""
"立場","たちば","quan điểm, vị trí, tình hình","","N3","1047",",tap2,lession23,",""
"経つ","たつ","để vượt qua, hết hiệu lực","","N3","1048",",tap2,lession23,",""
"達する","たっする","tiếp cận, để có được","","N3","1049",",tap2,lession23,",""
"唯","たった","miễn phí, chỉ duy nhất, duy nhất, thông thường, phổ biến","","N3","1050",",tap2,lession23,",""
"だって","だって","nhưng, bởi vì, thậm chí, cũng có thể, quá","","N3","1051",",tap2,lession23,",""
"たっぷり","たっぷり","đầy đủ, rất nhiều, phong phú","","N3","1052",",tap2,lession23,",""
"縦","たて","chiều dài, chiều cao","","N3","1053",",tap2,lession23,",""
"たとえ","たとえ","sự so sánh, ẩn dụ, ngụ ngôn","","N3","1054",",tap2,lession23,",""
"谷","たに","thung lung","","N3","1055",",tap2,lession23,",""
"他人","たにん","một người khác, người không liên quan, người ngoài cuộc, người lạ","","N3","1056",",tap2,lession23,",""
"種","たね","hạt giống, các tài liệu, nguyên nhân, nguồn","","N3","1057",",tap2,lession23,",""
"束","たば","bó","","N3","1058",",tap2,lession23,",""
"度","たび","truy cập cho lần xuất hiện","","N3","1059",",tap2,lession23,",""
"旅","たび","du lịch, chuyến đi, hành trình","","N3","1060",",tap2,lession23,",""
"たびたび","たびたび","thường xuyên, liên tục","","N3","1061",",tap2,lession24,",""
"多分","たぶん","có lẽ","","N3","1062",",tap2,lession24,",""
"玉","たま","bóng, hình cầu, đồng xu","","N3","1063",",tap2,lession24,",""
"球","たま","toàn cầu, hình cầu, bóng","","N3","1064",",tap2,lession24,",""
"弾","たま","viên đạn, bắn, vỏ","","N3","1065",",tap2,lession24,",""
"偶","たま","thậm chí","","N3","1066",",tap2,lession24,",""
"偶々","たまたま","tình cờ, bất ngờ, vô tình, một cách tình cờ","","N3","1067",",tap2,lession24,",""
"たまらない","たまらない","không thể chịu đựng nổi","","N3","1068",",tap2,lession24,",""
"黙る","だまる","phải im lặng","","N3","1069",",tap2,lession24,",""
"駄目","だめ","vô dụng, không tốt, tuyệt vọng","","N3","1070",",tap2,lession24,",""
"試し","ためし","thử nghiệm, kiểm tra","","N3","1071",",tap2,lession24,",""
"試す","ためす","để cố gắng, để kiểm tra","","N3","1072",",tap2,lession24,",""
"便り","たより","tin tức, loan báo Tin, thông tin, thư từ, thư","","N3","1073",",tap2,lession24,",""
"頼る","たよる","nơi nương tựa, tin tưởng vào, phụ thuộc vào","","N3","1074",",tap2,lession24,",""
"誰か","だれか","một ai đó, ai đó","","N3","1075",",tap2,lession24,",""
"段","だん","bước, cầu thang, chuyến bay của các bước, lớp, cấp bậc, trình độ","","N3","1076",",tap2,lession24,",""
"単位","たんい","đơn vị, mệnh giá, tín dụng","","N3","1077",",tap2,lession24,",""
"単語","たんご","từ, từ vựng, (thường) ký tự đơn từ","","N3","1078",",tap2,lession24,",""
"男子","だんし","thanh niên","","N3","1079",",tap2,lession24,",""
"単純","たんじゅん","đơn giản","","N3","1080",",tap2,lession24,",""
"誕生","たんじょう","sinh","","N3","1081",",tap2,lession25,",""
"ダンス","ダンス","nhảy","","N3","1082",",tap2,lession25,",""
"団体","だんたい","tổ chức, hiệp hội","","N3","1083",",tap2,lession25,",""
"担当","たんとう","(in) đảm nhiệm","","N3","1084",",tap2,lession25,",""
"単なる","たんなる","chỉ, đơn giản, tuyệt đối","","N3","1085",",tap2,lession25,",""
"単に","たんに","đơn giản, chỉ là, chỉ có, chỉ duy nhất","","N3","1086",",tap2,lession25,",""
"地","ち","đất","","N3","1087",",tap2,lession25,",""
"地位","ちい","(xã hội) vị trí, tình trạng","","N3","1088",",tap2,lession25,",""
"地域","ちいき","khu vực","","N3","1089",",tap2,lession25,",""
"チーズ","チーズ","pho mát","","N3","1090",",tap2,lession25,",""
"チーム","チーム","đội, team","","N3","1091",",tap2,lession25,",""
"知恵","ちえ","trí tuệ, trí thông minh","","N3","1092",",tap2,lession25,",""
"地下","ちか","tầng hầm, dưới lòng đất","","N3","1093",",tap2,lession25,",""
"違い","ちがい","sự khác biệt","","N3","1094",",tap2,lession25,",""
"違いない","ちがいない","chắc chắn, không nhầm lẫn","","N3","1095",",tap2,lession25,",""
"近頃","ちかごろ","gần đây, ngày nay","","N3","1096",",tap2,lession25,",""
"地球","ちきゅう","trái đất","","N3","1097",",tap2,lession25,",""
"地区","ちく","quận, huyện, phần, khu vực","","N3","1098",",tap2,lession25,",""
"遅刻","ちこく","chậm trễ, trễ tới","","N3","1099",",tap2,lession25,",""
"知事","ちじ","quận đốc","","N3","1100",",tap2,lession25,",""
"知識","ちしき","kiến thức, thông tin","","N3","1101",",tap2,lession26,",""
"父親","ちちおや","cha","","N3","1102",",tap2,lession26,",""
"知能","ちのう","thông minh, bộ não","","N3","1103",",tap2,lession26,",""
"地平線","ちへいせん","chân trời","","N3","1104",",tap2,lession26,",""
"地方","ちほう","khu vực, địa phương, quận, huyện, khu vực, bờ biển","","N3","1105",",tap2,lession26,",""
"茶","ちゃ","trà","","N3","1106",",tap2,lession26,",""
"チャンス","チャンス","cơ hội","","N3","1107",",tap2,lession26,",""
"ちゃんと","ちゃんと","đúng cách, hoàn hảo","","N3","1108",",tap2,lession26,",""
"中","ちゅう","bên trong, giữa, trong số những","","N3","1109",",tap2,lession26,",""
"注","ちゅう","chú thích, lưu ý, giải thích","","N3","1110",",tap2,lession26,",""
"中央","ちゅうおう","trung tâm","","N3","1111",",tap2,lession26,",""
"中学","ちゅうがく","trung học cơ sở","","N3","1112",",tap2,lession26,",""
"中古","ちゅうこ","sử dụng, second-hand cũ","","N3","1113",",tap2,lession26,",""
"中止","ちゅうし","đình chỉ, gián đoạn, ngưng","","N3","1114",",tap2,lession26,",""
"駐車","ちゅうしゃ","đỗ xe","","N3","1115",",tap2,lession26,",""
"昼食","ちゅうしょく","ăn trưa, bữa ăn trưa","","N3","1116",",tap2,lession26,",""
"中心","ちゅうしん","trung tâm, cốt lõi, tim, trục","","N3","1117",",tap2,lession26,",""
"注目","ちゅうもく","thông báo, sự chú ý, quan sát","","N3","1118",",tap2,lession26,",""
"注文","ちゅうもん","trật tự, yêu cầu","","N3","1119",",tap2,lession26,",""
"長期","ちょうき","khoảng thời gian dài","","N3","1120",",tap2,lession26,",""
"調査","ちょうさ","Điều tra, kiểm tra, khảo sát","","N3","1121",",tap2,lession27,",""
"調子","ちょうし","Giai điệu, chìa khóa","","N3","1122",",tap2,lession27,",""
"頂上","ちょうじょう","Hàng đầu, hội nghị thượng đỉnh, đỉnh","","N3","1123",",tap2,lession27,",""
"ちょうだい","ちょうだい","Xin vui lòng cho tôi , tiếp nhận, được đưa ra, có được","","N3","1124",",tap2,lession27,",""
"貯金","ちょきん","Tiết kiệm","","N3","1125",",tap2,lession27,",""
"直接","ちょくせつ","Trực tiếp, cá nhân","","N3","1126",",tap2,lession27,",""
"著者","ちょしゃ","Tác giả, nhà văn","","N3","1127",",tap2,lession27,",""
"遂に","ついに","Cuối cùng","","N3","1128",",tap2,lession27,",""
"通過","つうか","Quyền qua, đi qua","","N3","1129",",tap2,lession27,",""
"通学","つうがく","Đi lại đến trường","","N3","1130",",tap2,lession27,",""
"通行","つうこう","Đi qua","","N3","1131",",tap2,lession27,",""
"通じる","つうじる","Để chạy, dẫn đến, để giao tiếp, để hiểu","","N3","1132",",tap2,lession27,",""
"通信","つうしん","Thư từ, thông tin liên lạc, tin tức, tín hiệu","","N3","1133",",tap2,lession27,",""
"捕まる","つかまる","Bị bắt","","N3","1134",",tap2,lession27,",""
"掴む","つかむ","Để nắm bắt, để đón","","N3","1135",",tap2,lession27,",""
"疲れ","つかれ","Mệt mỏi","","N3","1136",",tap2,lession27,",""
"月","つき","Mặt trăng, tháng","","N3","1137",",tap2,lession27,",""
"付き合い","つきあい","Xã giao, xã hội hóa, hẹn hò","","N3","1138",",tap2,lession27,",""
"次々","つぎつぎ","Tiếp, từng người một","","N3","1139",",tap2,lession27,",""
"就く","つく","Giải quyết , nghiên cứu","","N3","1140",",tap2,lession27,",""
"注ぐ","つぐ","Đổ (vào), để tưới tiêu","","N3","1141",",tap2,lession28,",""
"付ける","つける","Đính kèm, để tham gia, để thêm, để phụ thêm","","N3","1142",",tap2,lession28,",""
"土","つち","Đất","","N3","1143",",tap2,lession28,",""
